id,player_name,team,position,r0_score,starting_price,hidden_price,breakeven,breakeven_to_hit_hidden_price
261224,Dayne Zorko,BRL,DEF,142,1065000,1096000,44,81
1005054,Josh Daicos,COL,DEF,141,988000,1025000,25,69
1023261,Nick Daicos,COL,MID,136,1134000,1154000,72,96
1008280,Ed Richards,WBD,MID,133,1014000,1042000,45,78
1013128,Errol Gulden,SYD,MID,126,1073000,1090000,72,92
994389,Jack Sinclair,STK,DEF,122,1057000,1072000,75,92
1011936,Justin McInerney,SYD,MID/FWD,122,824000,858000,15,55
298210,Christian Petracca,GCS,MID/FWD,121,948000,971000,48,75
1004938,Gryan Miers,GEE,FWD,121,984000,1004000,58,81
994295,Dan Houston,COL,DEF,120,701000,744000,-15,36
992010,Brayden Maynard,COL,DEF,119,696000,738000,-14,36
293535,Lachie Neale,BRL,MID,117,992000,1008000,66,85
1023270,Marcus Windhager,STK,MID,116,860000,886000,34,64
1000072,John Noble,GCS,DEF,115,953000,971000,59,80
1001398,Matthew Kennedy,WBD,MID,115,1013000,1026000,75,90
990291,Darcy Cameron,COL,RUC,112,1070000,1075000,95,101
1000860,Lachie Schultz,COL,FWD,112,804000,832000,25,58
298272,Touk Miller,GCS,MID,109,955000,967000,70,84
990609,Charlie Cameron,BRL,FWD,109,559000,604000,-33,20
1023517,Will Ashcroft,BRL,MID,109,1002000,1009000,83,92
1004592,Tim English,WBD,RUC,108,1162000,1157000,125,119
1015889,Max Holmes,GEE,MID,108,1059000,1062000,98,102
293957,Brodie Grundy,SYD,RUC,106,1122000,1119000,117,114
296422,Callum Wilkie,STK,DEF,104,846000,863000,50,70
992351,Bailey Williams,WBD,DEF/MID,103,805000,825000,40,64
994386,Tom Atkins,GEE,MID,102,921000,930000,73,83
260257,Scott Pendlebury,COL,MID,101,908000,918000,70,82
1009199,Noah Anderson,GCS,MID,100,1044000,1042000,107,105
1009260,Sam Flanders,STK,FWD,100,716000,741000,22,52
1006094,Sam Walsh,CAR,MID,99,977000,979000,92,94
298539,Isaac Heeney,SYD,MID,98,1016000,1015000,103,102
1003130,Patrick Lipinski,COL,MID/FWD,98,702000,726000,22,50
1012805,Tanner Bruhn,GEE,MID,98,517000,557000,-27,21
293871,Jack Crisp,COL,MID,97,883000,891000,71,80
293884,Jake Stringer,GWS,FWD,97,561000,596000,-13,28
291548,Ryan Lester,BRL,DEF,95,601000,631000,1,36
