organisation,twitter,facebook,website,YouTube,spotify,primary_url
bit in that,https://twitter.com/bitinthat,,,,,https://twitter.com/bitinthat
The Traders,https://twitter.com/AFLFantasy,https://www.facebook.com/AFLFantasyOfficial,https://www.afl.com.au/fantasy,https://www.youtube.com/@dttalk,https://open.spotify.com/show/0UO9k0lVdLQ9NmRMETee4w,https://open.spotify.com/show/0UO9k0lVdLQ9NmRMETee4w
Chamption Data,https://twitter.com/championdata,,https://www.championdata.com/home,,,https://www.championdata.com/home
Plus Six Podcast,https://twitter.com/PlusSixPodcast,,,,https://open.spotify.com/show/6gA6kIMngOgriEtdonZ3Rj,https://open.spotify.com/show/6gA6kIMngOgriEtdonZ3Rj
Hat Chat,https://twitter.com/HatChatAFL,https://www.facebook.com/groups/2403247273141497,,,https://open.spotify.com/show/6lnE4eOcHbksym1Ot0LJ4n,https://open.spotify.com/show/6lnE4eOcHbksym1Ot0LJ4n
Ball Boys,,,https://ballboysnba.com/,https://www.youtube.com/@ballboysaflfantasy,https://open.spotify.com/show/5ihn0Imq9TVaVADcLMk8Vx,https://www.youtube.com/@ballboysaflfantasy
AFL Fantasy Fanatics,https://twitter.com/aflfantasyfans,,,https://www.youtube.com/watch?v=oAIDcZmcAos&t=1s,https://open.spotify.com/show/2XN5RQv598FhYXoja2Ry3Q,https://open.spotify.com/show/2XN5RQv598FhYXoja2Ry3Q
Coaches Panel,https://twitter.com/coachespanel,,,,https://open.spotify.com/show/20rEmPNwjKmazm2oTD010z,https://open.spotify.com/show/20rEmPNwjKmazm2oTD010z
PodPod,https://twitter.com/podpodAFL,,https://keeperleaguepod.com.au/podcasts-podpod/,,https://open.spotify.com/show/2A0vTbHQbcpP5PwbmTydND,https://open.spotify.com/show/2A0vTbHQbcpP5PwbmTydND
DT Talk,https://twitter.com/DTTALK,,https://dreamteamtalk.com/,https://www.youtube.com/@dttalk,,https://linktr.ee/dttalk
Breakeven Podcast,https://twitter.com/afl_breakeven,,,,https://open.spotify.com/show/5BZARWBT7U6r1NXGpG9X84,https://open.spotify.com/show/5BZARWBT7U6r1NXGpG9X84
Free Kick Podcast,https://twitter.com/FreeKickWPod,,https://linktr.ee/freekickw_pod,,https://open.spotify.com/show/4pwZNiagyf3yC7eoPWNzOF,https://open.spotify.com/show/4pwZNiagyf3yC7eoPWNzOF
Official AFLW Fantasy Podcast,https://twitter.com/AFLFantasy,,,,https://open.spotify.com/show/7HTXypdoaNZSWBrvKUESOP,https://open.spotify.com/show/7HTXypdoaNZSWBrvKUESOP
Keeper League Podcast,https://twitter.com/keeperleaguepod,,https://keeperleaguepod.com.au/,,https://open.spotify.com/show/77NzJGHwvJgfRXEzrw3RRL,https://open.spotify.com/show/77NzJGHwvJgfRXEzrw3RRL
Cousins AFL Fantasy,https://twitter.com/thecousinspod,,,,https://open.spotify.com/show/4FfbwaNbiyIErSdAGb4KiL,https://thecousinspod.podbean.com/
Fantasy People,https://twitter.com/DylSmithFantasy,,,https://www.youtube.com/watch?v=zGyjTuB4Z8I,,https://www.youtube.com/watch?v=zGyjTuB4Z8I
Sports By Fry,https://twitter.com/sportsbyfry,https://www.facebook.com/SportsbyFry/,https://sportsbyfry.com/personal/,https://www.youtube.com/channel/UCbhAV4BbBVmN9ZOMnbj55zQ?view_as=subscriber,https://open.spotify.com/show/5NnKl8ZeVhg93JcqCsVFGP?si=2cbe8478c5554b06&nd=1&dlsi=31dc02d018714481,https://sportsbyfry.com/
Ky Broome Sports Fantasy,https://twitter.com/KBSportsFantasy,,,https://www.youtube.com/@kybroome,https://open.spotify.com/show/0QLfb0UxmTTHG2IVEA321o,https://www.youtube.com/@kybroome
