user_id,team_id_2023,name,organisation,known_for,individual_url,include
4722,4722,Tim Gummer,bit in that,,,FALSE
,,Michael Thomas,bit in that,,,FALSE
,,Tom Marshall,bit in that,,,FALSE
,,Bit In That,bit in that,,https://twitter.com/bitinthat,FALSE
,,Matt Mottram,,2022 Winner,https://twitter.com/mattmottram,FALSE
2433,2433,Wise Ocean Pods,,2023 AFL Fantasy winner,https://twitter.com/WiseOceanPODs,TRUE
26964,26964,Fleabaggers,,2023 AFL Fantasy runners up,,TRUE
28449,28449,Roy,The Traders,,https://twitter.com/RoyDT,TRUE
6,6,Warney,Official AFLW Fantasy Podcast,,https://twitter.com/WarnieDT,TRUE
2586,2586,Calvin,The Traders,,https://twitter.com/CalvinDT,TRUE
,,The Traders,The Traders,,,FALSE
9,9,Dejan,Official AFLW Fantasy Podcast,,https://twitter.com/DejanKalinic,TRUE
10,10,Gemma Bastiani,Official AFLW Fantasy Podcast,,https://twitter.com/glbastiani,TRUE
56,56,Liam,Free Kick Podcast,,https://twitter.com/LiamAFLWFantasy,TRUE
24148,24148,DC,Hat Chat,,https://twitter.com/DCCaterpillars,TRUE
26683,26683,Nathan,Hat Chat,,https://twitter.com/Obermullet,TRUE
2727,2727,Jake,Hat Chat,,https://twitter.com/SanchFantasy,TRUE
14073,14073,Sanch,Hat Chat,,https://twitter.com/DunkleysDonuts,TRUE
4357,4357,Mrs DC,Hat Chat,,https://twitter.com/MRS___DC,TRUE
,,Guesty,AFL Fantasy Fanatics,,https://twitter.com/timguestau,FALSE
362,362,Bails,AFL Fantasy Fanatics,,https://twitter.com/BailsDT,FALSE
,,MiniMonk,Coaches Panel,,https://twitter.com/MiniMonk10,FALSE
23855,23855,Dossy,PodPod,,https://twitter.com/HKDos,TRUE
,,Holmesy,PodPod,,https://twitter.com/Holmesyheroes,FALSE
,,Harmey,PodPod,,https://twitter.com/jonharmey,FALSE
,,Lewy,PodPod,,https://twitter.com/LewyAF,FALSE
6207,6207,The Statesman,PodPod,,https://twitter.com/Statesman33,TRUE
55,55,Jayden Popowski,DT Talk,,https://twitter.com/jaiden_popowski,TRUE
2591,2591,DT Lemon,DT Talk,,https://twitter.com/Lemon_DT,TRUE
,,Nug,Breakeven Podcast,,https://twitter.com/janitorstime,FALSE
,,Millar,Breakeven Podcast,,https://twitter.com/time_millar,FALSE
,,Doe,Breakeven Podcast,,https://twitter.com/doee48,FALSE
19725,19725,Cara,,AFLFantasyPerth,,FALSE
,,Bindy,,Appears on podcasts recently,https://twitter.com/DT_Bindi,FALSE
,,Levi,,A guy in the community who has done well for a few seasons,,FALSE
28522,28522,Nerds4Life,,,https://twitter.com/Nerds4lifeSC,FALSE
57,57,Fanta,,,https://twitter.com/TheFantaCan,FALSE
19323,19323,Jak Kerin,,MM AFLW Fantasy 2022B runner up,https://twitter.com/Emu_Parade_,TRUE
40,40,Corey Cummins,,MM AFLW Fantasy 2022B winner,https://twitter.com/YoCorzz,TRUE
192,192,Josh Porter,,MM AFLW Fantasy 2022A runner up,https://twitter.com/Porternator,TRUE
216,216,Rez,,MM AFLW Fantasy 2022A winner,https://twitter.com/rezpxnd,TRUE
